Season,Description,conf_rate
2017,Northeast,0.435
2017,SWAC,0.409
2017,MEAC,0.402
2018,Big 12,0.581
2018,Big East,0.575
2018,SEC,0.574
2018,ACC,0.574
2018,Big Ten,0.552
2018,Pac-12,0.551
2018,American,0.539
2018,MVC,0.527
2018,Mountain West,0.517
2018,MAC,0.509
2018,Atlantic 10,0.506
2018,WCC,0.5
2018,CAA,0.499
2018,CUSA,0.49
2018,WAC,0.483
2018,Southern,0.48
2018,Big Sky,0.48
2018,Ohio Valley,0.478
2018,Summit,0.477
2018,Sun Belt,0.476
2018,MAAC,0.475
2018,Big West,0.474
2018,America East,0.465
2018,Big South,0.461
2018,Ivy,0.458
2018,Horizon League,0.458
2018,Patriot,0.454
2018,Northeast,0.452
2018,Southland,0.446
2018,Atlantic Sun,0.444
2018,MEAC,0.408
2018,SWAC,0.404
2019,Big 12,0.588
2019,Big Ten,0.568
2019,ACC,0.567
2019,SEC,0.565
2019,Big East,0.556
2019,American,0.547
2019,Pac-12,0.531
2019,WCC,0.527
2019,MAC,0.523
2019,Ivy,0.514
2019,Atlantic 10,0.5
2019,Southern,0.499
2019,CUSA,0.498
2019,MVC,0.496
2019,Mountain West,0.493
2019,WAC,0.492
2019,Sun Belt,0.49
2019,CAA,0.487
2019,Patriot,0.485
2019,Ohio Valley,0.473
2019,Atlantic Sun,0.469
2019,Horizon League,0.467
2019,Big South,0.463
2019,Big Sky,0.462
2019,Big West,0.459
2019,America East,0.457
2019,Summit,0.456
2019,Northeast,0.452
2019,MAAC,0.448
2019,Southland,0.441
2019,SWAC,0.413
2019,MEAC,0.408
2020,Big East,0.583
2020,Big 12,0.574
2020,Pac-12,0.565
2020,SEC,0.559
2020,Big Ten,0.559
2020,ACC,0.558
2020,American,0.544
2020,Atlantic 10,0.539
2020,WCC,0.534
2020,Mountain West,0.52
2020,MVC,0.518
2020,MAC,0.512
2020,Southern,0.502
2020,Sun Belt,0.495
2020,Ivy,0.489
2020,CAA,0.489
2020,CUSA,0.488
2020,Big Sky,0.486
2020,Patriot,0.475
2020,MAAC,0.472
2020,America East,0.471
2020,Summit,0.469
2020,Horizon League,0.465
2020,Big West,0.462
2020,Atlantic Sun,0.458
2020,Northeast,0.457
2020,WAC,0.453
2020,Big South,0.452
2020,Ohio Valley,0.448
2020,Southland,0.443
2020,SWAC,0.425
2020,MEAC,0.419
2021,Big 12,0.567
2021,Big Ten,0.548
2021,Pac-12,0.546
2021,SEC,0.546
2021,WCC,0.543
2021,Big East,0.536
2021,American,0.531
2021,ACC,0.531
2021,Southern,0.514
2021,Mountain West,0.503
2021,MVC,0.502
2021,CUSA,0.5
2021,Atlantic 10,0.5
2021,Patriot,0.495
2021,Sun Belt,0.492
2021,MAAC,0.491
2021,Northeast,0.48
2021,MAC,0.479
2021,CAA,0.476
2021,Big West,0.474
2021,Horizon League,0.472
2021,Ohio Valley,0.469
2021,America East,0.466
2021,Big Sky,0.463
2021,Big South,0.452
2021,Atlantic Sun,0.451
2021,WAC,0.441
2021,SWAC,0.44
2021,Summit,0.439
2021,Southland,0.438
2021,MEAC,0.351
2021,Ivy,0.35
2022,Big 12,0.577
2022,SEC,0.566
2022,Big East,0.563
2022,Big Ten,0.561
2022,Mountain West,0.547
2022,Pac-12,0.542
2022,ACC,0.534
2022,American,0.532
2022,WCC,0.532
2022,Atlantic 10,0.523
2022,Southern,0.517
2022,CAA,0.502
2022,CUSA,0.502
2022,MVC,0.499
2022,MAAC,0.499
2022,Sun Belt,0.494
2022,WAC,0.491
2022,MAC,0.486
2022,Ivy,0.477
2022,Big West,0.476
2022,Summit,0.47
2022,Ohio Valley,0.467
2022,Big Sky,0.466
2022,America East,0.464
2022,Atlantic Sun,0.462
2022,Big South,0.455
2022,Horizon League,0.452
2022,Patriot,0.446
2022,Northeast,0.446
2022,Southland,0.437
2022,MEAC,0.436
2022,SWAC,0.426
